domain,host,is_valid_host,sitemap_url_count,loaded_by_robot,in_search_yandex,excluded_yandex,fatal_problems,index_ratio,indexnow_eligible,recrawl_eligible,wm_status
kuhni-zakaz-online.ru,spb.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,tyumen.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,tyumen.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,ufa.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,ufa.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,vlg.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,vlg.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,vrn.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,vrn.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,brn.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,chel.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,perm.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,rnd.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,sam.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,tyumen.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,ufa.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,vlg.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,vrn.dom-stroy-online.ru,true,0,0,0,0,0,0.00,true,false,"http:404"
dizayn-interyera-online.ru,brn.dizayn-interyera-online.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
dveri-stalnye24.ru,brn.dveri-stalnye24.ru,false,209,0,0,0,0,0.00,false,false,"http:404"
