host,page_type,total_urls,indexable_urls,submitted_indexnow_24h,submitted_recrawl_24h,yandex_indexed_count,google_indexed_count,impressions_yandex,clicks_yandex,ctr_yandex,impressions_google,clicks_google,ctr_google,metrika_visits,leads,conversion_rate,estimated_value
ekb.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
ekb.kalkremont.ru,ALL,205,205,205,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
ekb.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
ekb.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
ekb.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
ekb.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ekb.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
ekb.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
ekb.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
ekb.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
elektro.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
elektro.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
elektro.kalkremont.ru,city-leaf,445,445,,,,,,,,,,,0,0,0,0
elektro.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
fasad.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
fasad.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
fasad.kalkremont.ru,city-leaf,485,485,,,,,,,,,,,0,0,0,0
fasad.kalkremont.ru,ALL,492,492,492,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ipoteka-remont.ru,ALL(excluded),5,0,5,0,0,n/a,0,0,0,n/a,n/a,n/a,0,2,0,1400
irk.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
irk.kalkremont.ru,service-hub,4,4,,,,,,,,,,,0,0,0,0
irk.kalkremont.ru,city-leaf,16,16,,,,,,,,,,,0,0,0,0
irk.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
izh.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
izh.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
izh.kalkremont.ru,city-leaf,20,20,,,,,,,,,,,0,0,0,0
izh.kalkremont.ru,ALL,26,26,26,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
kalkremont.ru,ALL(excluded),9040,0,1000,0,0,n/a,0,0,0,n/a,n/a,n/a,26,0,0,0
kamin-zakaz24.ru,home,1,1,,,,,,,,,,,2,0,0,0
kamin-zakaz24.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
kamin-zakaz24.ru,city-leaf,245,245,,,,,,,,,,,0,0,0,0
kamin-zakaz24.ru,content,1,1,,,,,,,,,,,0,0,0,0
kamin-zakaz24.ru,ALL,250,250,250,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
kem.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
kem.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
kem.kalkremont.ru,city-leaf,20,20,,,,,,,,,,,0,0,0,0
kem.kalkremont.ru,ALL,26,26,26,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
khv.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
khv.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
khv.kalkremont.ru,city-leaf,20,20,,,,,,,,,,,0,0,0,0
khv.kalkremont.ru,ALL,26,26,26,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
kir.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
kir.kalkremont.ru,service-hub,4,4,,,,,,,,,,,0,0,0,0
kir.kalkremont.ru,city-leaf,16,16,,,,,,,,,,,0,0,0,0
kir.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
kld.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
kld.kalkremont.ru,service-hub,4,4,,,,,,,,,,,0,0,0,0
kld.kalkremont.ru,city-leaf,16,16,,,,,,,,,,,0,0,0,0
kld.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
kondicioner.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
kondicioner.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
kondicioner.kalkremont.ru,city-leaf,485,485,,,,,,,,,,,0,0,0,0
kondicioner.kalkremont.ru,ALL,492,492,492,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
krd.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
krd.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
krd.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
krd.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
krd.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
krd.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
krd.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
krd.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
krd.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
krd.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
krd.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
krd.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
krd.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
krd.kalkremont.ru,ALL,176,176,176,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
krd.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
krd.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
krd.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
krd.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
krd.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
krd.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,12,0,0,0
krd.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
krd.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
kuhni-zakaz-online.ru,ALL(excluded),5,0,5,0,0,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
kuhni.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
kuhni.kalkremont.ru,service-hub,5,5,,,,,,,,,,,0,0,0,0
kuhni.kalkremont.ru,city-leaf,445,445,,,,,,,,,,,0,0,0,0
kuhni.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
kupeshkafy24.ru,home,1,1,,,,,,,,,,,2,0,0,0
kupeshkafy24.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
kupeshkafy24.ru,city-leaf,204,204,,,,,,,,,,,0,0,0,0
kupeshkafy24.ru,content,1,1,,,,,,,,,,,0,0,0,0
kupeshkafy24.ru,ALL,209,209,209,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
kzn.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
kzn.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
kzn.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
kzn.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
kzn.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
kzn.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
kzn.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
kzn.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
kzn.kalkremont.ru,home,1,1,,,,,,,,,,,3,0,0,0
kzn.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
kzn.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
kzn.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
kzn.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
kzn.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
kzn.kalkremont.ru,ALL,205,205,205,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
kzn.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
kzn.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
kzn.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
kzn.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
kzn.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
kzn.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,17,0,0,0
kzn.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
kzn.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
lpk.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
lpk.kalkremont.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
lpk.kalkremont.ru,city-leaf,12,12,,,,,,,,,,,0,0,0,0
lpk.kalkremont.ru,content,5,5,,,,,,,,,,,0,0,0,0
lpk.kalkremont.ru,ALL,21,21,21,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
moskva.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
moskva.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
moskva.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
moskva.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
moskva.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
moskva.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
moskva.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
moskva.ipoteka-remont.ru,ALL,5,5,10,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
moskva.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
moskva.kalkremont.ru,service-hub,11,11,,,,,,,,,,,1,0,0,0
moskva.kalkremont.ru,city-leaf,88,88,,,,,,,,,,,0,0,0,0
moskva.kalkremont.ru,deep-leaf,220,220,,,,,,,,,,,0,0,0,0
moskva.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
moskva.kalkremont.ru,ALL,321,321,321,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
moskva.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
moskva.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
moskva.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
moskva.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
moskva.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
moskva.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
moskva.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,11,0,0,0
moskva.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
natyazhnoi-master24.ru,home,1,1,,,,,,,,,,,2,0,0,0
natyazhnoi-master24.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
natyazhnoi-master24.ru,city-leaf,245,245,,,,,,,,,,,0,0,0,0
natyazhnoi-master24.ru,content,1,1,,,,,,,,,,,0,0,0,0
natyazhnoi-master24.ru,ALL,250,250,250,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
nn.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,4,0,0,0
nn.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
nn.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
nn.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
nn.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
nn.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
nn.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
nn.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
nn.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
nn.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
nn.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
nn.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
nn.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
nn.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
nn.kalkremont.ru,ALL,205,205,205,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
nn.kamin-zakaz24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
nn.kuhni-zakaz-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
nn.kuhni-zakaz-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
nn.kuhni-zakaz-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
nn.kupeshkafy24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
nn.natyazhnoi-master24.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,6,0,0,0
nn.okna-pvh-online.ru,ALL(excluded),250,0,250,0,0,n/a,0,0,0,n/a,n/a,n/a,7,0,0,0
nn.perevodkvartiry.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
nsk.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,5,0,0,0
nsk.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
nsk.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
nsk.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
nsk.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
nsk.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,2,0,1400
nsk.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
nsk.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,2,0,1400
nsk.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
nsk.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
nsk.kalkremont.ru,city-leaf,48,48,,,,,,,,,,,0,0,0,0
nsk.kalkremont.ru,deep-leaf,120,120,,,,,,,,,,,0,0,0,0
nsk.kalkremont.ru,price,1,1,,,,,,,,,,,0,0,0,0
nsk.kalkremont.ru,content,29,29,,,,,,,,,,,0,0,0,0
