domain,host,project,is_valid_host,is_bad_host,reason_if_bad,sitemap_url,sitemap_url_count,indexable_url_count,canonical_mode,robots_status,yandex_webmaster_status,google_search_console_status,indexnow_eligible,recrawl_eligible,metrika_counter,lead_forms_present,monetization_slots_present,priority_score
kalkremont.ru,khv.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · khv",true,false,"",https://khv.kalkremont.ru/sitemap.xml,26,26,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,52
kalkremont.ru,sar.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sar",true,false,"",https://sar.kalkremont.ru/sitemap.xml,26,26,"self","200 DISALLOW-ALL! +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,52
kalkremont.ru,tul.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · tul",true,false,"",https://tul.kalkremont.ru/sitemap.xml,26,26,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,52
kalkremont.ru,astr.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · astr",true,false,"",https://astr.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,irk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · irk",true,false,"",https://irk.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,kir.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kir",true,false,"",https://kir.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,kld.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kld",true,false,"",https://kld.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,lpk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · lpk",true,false,"",https://lpk.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,oren.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · oren",true,false,"",https://oren.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
kalkremont.ru,pnz.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · pnz",true,false,"",https://pnz.kalkremont.ru/sitemap.xml,21,21,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,47
