domain,host,project,is_valid_host,sitemap_url_count,in_search_yandex,index_gap,lead_forms_present,monetization_slots_present,metrika_counter,indexnow_eligible,recrawl_eligible,priority_score,next_action
kalkremont.ru,tlt.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · tlt",true,16,0,16,no,no,present(id?),true,true,41,"ADD lead CTA/form"
kalkremont.ru,sovety.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sovety",true,11,1,10,no,no,present(id?),true,true,32,"ADD lead CTA/form"
ipoteka-remont.ru,brn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · brn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,brn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · brn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,chel.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · chel",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,chel.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · chel",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,ekb.dom-stroy-online.ru,"dom-stroy (строительство домов) · ekb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,ekb.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · ekb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,ekb.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · ekb",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,krd.dom-stroy-online.ru,"dom-stroy (строительство домов) · krd",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,krd.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · krd",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,krd.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · krd",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,kzn.dom-stroy-online.ru,"dom-stroy (строительство домов) · kzn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,kzn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · kzn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,kzn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · kzn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,moskva.dom-stroy-online.ru,"dom-stroy (строительство домов) · moskva",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,moskva.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · moskva",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,moskva.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · moskva",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,nn.dom-stroy-online.ru,"dom-stroy (строительство домов) · nn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,nn.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · nn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,nn.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · nn",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
dom-stroy-online.ru,nsk.dom-stroy-online.ru,"dom-stroy (строительство домов) · nsk",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,nsk.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · nsk",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,nsk.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · nsk",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,perm.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · perm",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,perm.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · perm",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,rnd.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · rnd",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
kuhni-zakaz-online.ru,rnd.kuhni-zakaz-online.ru,"kuhni (кухни на заказ) · rnd",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
ipoteka-remont.ru,sam.ipoteka-remont.ru,"ipoteka-remont (ипотека + ремонт) · sam",true,5,0,5,yes,no,,true,false,15,"ADD Metrika counter"
